Timestamp: 2024-10-07 21:25:31 Latitude: 48.906631, Longitude: 2.249909, Speed: 0.78 km/h
Timestamp: 2024-10-07 21:29:45 Latitude: 48.906593, Longitude: 2.249898, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:46 Latitude: 48.906589, Longitude: 2.249897, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:29:47 Latitude: 48.906589, Longitude: 2.249896, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:29:48 Latitude: 48.906589, Longitude: 2.249895, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:49 Latitude: 48.906585, Longitude: 2.249893, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:29:50 Latitude: 48.906585, Longitude: 2.249892, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:29:51 Latitude: 48.906585, Longitude: 2.249891, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:52 Latitude: 48.906585, Longitude: 2.249890, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:29:53 Latitude: 48.906581, Longitude: 2.249890, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:29:54 Latitude: 48.906581, Longitude: 2.249889, Speed: 0.22 km/h
Timestamp: 2024-10-07 21:29:55 Latitude: 48.906581, Longitude: 2.249889, Speed: 0.19 km/h
Timestamp: 2024-10-07 21:29:56 Latitude: 48.906581, Longitude: 2.249889, Speed: 0.22 km/h
Timestamp: 2024-10-07 21:29:57 Latitude: 48.906581, Longitude: 2.249888, Speed: 0.26 km/h
Timestamp: 2024-10-07 21:29:58 Latitude: 48.906581, Longitude: 2.249888, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:29:59 Latitude: 48.906578, Longitude: 2.249888, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:30:00 Latitude: 48.906578, Longitude: 2.249888, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:30:01 Latitude: 48.906578, Longitude: 2.249888, Speed: 0.19 km/h
Timestamp: 2024-10-07 21:30:02 Latitude: 48.906578, Longitude: 2.249888, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:30:03 Latitude: 48.906574, Longitude: 2.249889, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:30:04 Latitude: 48.906574, Longitude: 2.249889, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:30:05 Latitude: 48.906574, Longitude: 2.249889, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:30:06 Latitude: 48.906574, Longitude: 2.249888, Speed: 0.00 km/h
